file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/cat_74.wav,1,-8.292638407009418,-9.138933294005396,-4.144030097918456,-5.20769798575151,-8.90912672386205,-9.43148351978158,-16.098733359880786,-21.160903208128214,-21.374570773125516,-25.442326940988238,-26.898350415326863,-47.798736619670485,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492,-50.19266891479492
audio-dataset/cats_dogs/dog_barking_63.wav,0,-13.518630373323457,-16.97505970413707,-27.15859997287121,-29.25343615488183,-38.31838950362937,-35.23041488646831,-41.89712568280403,-41.680353015371026,-40.82036826449833,-38.62705994398598,-40.805129310165,-42.341298457388575,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875,-42.455535888671875
audio-dataset/cats_dogs/cat_60.wav,1,-2.4448178714898514,-12.629546697262159,-28.655859361085223,-36.63693077678883,-38.325303193392315,-37.81653631846201,-38.43790474716201,-38.5377392862906,-38.483103651372524,-38.214351596592444,-38.454928684739826,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484,-38.824153900146484
audio-dataset/cats_dogs/dog_barking_77.wav,0,-2.700409543470996,-5.692910662142664,-19.11679915223925,-23.729445514616387,-30.975215184423828,-36.377993028469156,-36.85925327880563,-38.30817458520528,-37.421714202028696,-35.44260411118927,-37.270872982498865,-41.1540249118618,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805,-41.52009201049805
audio-dataset/cats_dogs/cat_48.wav,1,-17.62208848867305,-3.1640515955676376,-17.2354394571339,-37.36486448986936,-36.31901304278181,-38.81040387584704,-39.229112289405904,-35.696279741755355,-36.40470842316478,-38.375179392675314,-39.5117799470597,-40.01964796785398,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043,-40.0196647644043
audio-dataset/cats_dogs/dog_barking_88.wav,0,-3.06119594412639,-4.375285891454931,-11.881472882462925,-16.474522694464508,-28.816251723488705,-41.74327312787697,-39.00796081536802,-42.85555697473986,-37.647147819326435,-37.12115759920017,-39.05575876674433,-47.12917939684856,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594,-48.516624450683594
audio-dataset/cats_dogs/cat_126.wav,1,-28.90643789041149,-20.853959715683644,-15.913948097810954,-17.70934103904805,-15.913541164066952,-18.46149583997405,-21.18535679221623,-20.10096970706002,-23.177589914113014,-25.713026083022008,-33.49540506126255,-44.44590181069352,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531,-45.08650207519531
audio-dataset/cats_dogs/cat_132.wav,1,-10.432599945349455,-7.025048095616517,-14.813149776140008,-17.596781031638542,-21.863200178405357,-15.134859066370794,-24.962716568643305,-28.072117725282205,-20.278339478564476,-25.424214981820345,-33.35130019991126,-42.6117379223091,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719,-42.92924499511719
audio-dataset/cats_dogs/cat_133.wav,1,0.41849691691447266,3.5630759905852676,2.7851366113556737,-3.0376551677995205,-3.940035415906263,-7.800437992165735,-6.990897377816916,-10.605300404949963,-9.061563716508969,-16.615492158700064,-28.917213581857226,-44.27256468201981,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734,-45.277095794677734
audio-dataset/cats_dogs/cat_127.wav,1,-29.80829462628277,-18.93157350920881,-13.888614747139934,-18.396442640159126,-15.74623284142751,-18.540347692372954,-22.08257095828561,-20.33391286942509,-23.517484698536748,-26.63199174395994,-34.94832557594186,-53.96701984935336,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328,-55.68915557861328
