,0,1,2,animal
0,-8.292638407009418,-9.138933294005396,-4.144030097918456,1
1,-13.518630373323456,-16.97505970413707,-27.15859997287121,0
2,-2.4448178714898514,-12.62954669726216,-28.655859361085223,1
3,-2.700409543470996,-5.692910662142664,-19.11679915223925,0
4,-17.62208848867305,-3.1640515955676376,-17.2354394571339,1
5,-3.06119594412639,-4.375285891454931,-11.881472882462925,0
6,-28.90643789041149,-20.853959715683644,-15.913948097810954,1
7,-10.432599945349455,-7.025048095616517,-14.813149776140008,1
8,0.4184969169144726,3.5630759905852676,2.7851366113556737,1
9,-29.80829462628277,-18.93157350920881,-13.888614747139934,1
10,1.7950092301248504,-8.177006977979472,-9.97121846469201,0
11,-22.968811411726406,-24.80235040576622,-27.03561770523609,1
12,-8.758921097553749,-14.028773325842597,-18.70047803457325,0
13,-11.826214028807655,-16.334450646335466,-20.456590178522216,1
14,-4.163253860211975,-7.56214697344777,-25.982430887691724,0
15,-27.844865379258625,-15.97010185907186,-14.681686743312088,1
16,-17.285484921694398,-8.56746221452652,-9.534884034124133,1
17,-5.916831857331746,-11.46918882368816,-20.95462472479428,1
18,-13.570424091433438,-16.01028732940821,-19.664431182563114,0
19,-9.139718797454394,-17.074068724450278,-23.43047461490098,1
20,-7.360250027681663,-7.703117021900708,-20.7420189950986,0
21,-4.365597881988423,-9.256709202964611,-27.35409592932025,0
22,-19.539773690862145,-20.977200124471786,-21.958580597687337,1
23,-9.805735630402342,-24.029616272449495,-35.56491937135395,1
24,-7.914054095956364,-7.019137473573245,-3.4965755390638136,1
25,9.1647559625291,8.853022396365253,1.8486370751494976,1
26,-17.06309037250132,-23.859637330845914,-21.53464189787691,1
27,-11.908401437503375,-20.224679731159306,-8.083467985751001,1
28,2.655771098930674,-1.2651738648024495,4.571699969645202,1
29,-20.2865174643487,-22.52495929573197,-26.857960801747033,1
30,-3.2247554865686903,-7.604404114155985,-25.630444537220296,0
31,-6.533477613996334,-11.68383285269701,-26.572581956982702,0
32,-7.564555246418652,-13.932903225471572,-11.438956291470348,1
33,-7.827048323017491,-11.723913140602708,-15.029145499674348,0
34,-7.180376856290875,-11.81481404056668,-19.208122971705137,1
35,-3.553174533981364,-0.6962211054353977,-4.662636667960078,1
36,-0.1057859510115842,-3.996672847590694,-23.381497596614675,0
37,-7.54892816958818,4.185609384920342,1.450069547793534,1
38,-1.3087094908861383,-3.593769968182606,-22.31759734252348,0
39,-9.186972294897233,-13.708716355818131,-9.981373654359214,1
40,-5.790700342252633,-13.083619497094208,-24.34478744565981,0
41,-8.913330114372691,-4.649558831245794,-7.592316422288121,1
42,-10.486857744260032,-7.494856659053056,-10.467533750213772,0
43,-8.626575748790845,-10.802518517679848,-8.341550888777878,1
44,-4.281006205325173,-1.1390354873226125,-12.264884218437992,1
45,-4.8732307790829665,-0.9145449019504708,-6.234207266643915,1
46,-6.721474383439281,-8.43630066890387,-12.315326632688986,1
47,1.2557545482473405,4.060169057712111,-4.732764037452796,1
48,-7.420769971537808,-12.207270922447682,-27.122665261950672,1
49,-15.77173925722018,-33.77374787330628,-37.17725453878704,0
50,-5.259144686869787,-2.875171083437233,-5.64519698190337,1
51,-9.929559350178437,-15.78905385186325,-26.919406602721928,0
52,-8.38273431810021,-12.401730632265023,-8.83436011712643,1
53,-6.272611571808248,-5.549274676388844,-26.383303821605416,0
54,-18.746693195767985,-12.264349251586156,-24.737614483089914,1
55,-4.7569024740631285,-10.069300863463804,-30.016355202170978,0
56,-13.373191651945964,-10.12419550374139,-11.256191242351818,1
57,-10.86558205393614,-9.487675841083302,-9.521963746337208,1
