,0,1,2,animal
0,-8.855084291938915,-8.984169577879022,-6.009548433284603,1
1,-20.744439497509205,-7.189046046582388,-14.916589876958104,0
2,2.5284056895730056,-8.499817773745225,-6.5412729506985166,1
3,-8.222084721822604,2.86377093664959,-5.144089137027189,0
4,-22.7706035744706,-10.258954607702016,-4.295001290054031,1
5,-8.55720954768135,1.5658071027312517,-3.235058321602216,0
6,-32.236139578089656,-24.95845206388577,-21.001234647377583,1
7,-12.849131745540957,-6.804233264104439,-4.820404269701371,1
8,-0.366817079214915,0.8154878581706467,3.2159385428675806,1
9,-34.538645113395944,-23.55042398588391,-19.892255010259916,1
10,-3.1117768483546016,6.901336314752485,-4.050398967778363,0
11,-22.53539702232505,-23.39571279550729,-24.415199027225245,1
12,-13.54805925891951,-5.427145608719627,-12.34135060015774,0
13,-13.413688453161289,-10.543419396867511,-13.47688497830145,1
14,-9.460255152457805,-0.0173927731386441,-6.597154963299193,0
15,-32.59532950046507,-20.90778227459263,-17.381514961135363,1
16,-18.967242895728337,-16.95960508713608,-11.028806175927745,1
17,-4.818918697220429,-5.845889985440612,-9.48715634067585,1
18,-22.168715043516546,-6.189901035334066,-14.617023152230283,0
19,-11.990106748573975,-6.0556932341691665,-19.8560678321002,1
20,-14.045120828014545,-0.6443507086157545,-7.138367875394497,0
21,-8.05147451244212,-1.4734323791287702,-7.83759643967965,0
22,-19.1866723245778,-19.096549146765117,-19.71501795902957,1
23,-2.980479349890216,-16.92747830531814,-20.8831636688926,1
24,-6.793009029421724,-8.242788688515592,-7.339381867545688,1
25,8.08158280905014,10.339716864201852,9.28981182023292,1
26,-14.070037564308125,-20.07168058811206,-23.40654969024591,1
27,-9.825875889204566,-15.8326069062677,-15.094590475169277,1
28,5.9269539449702595,-0.9494091890934674,-0.8661932015600495,1
29,-19.048670066402483,-21.200909945683815,-20.69960010024768,1
30,-7.282365475315279,-0.0565371724828879,-6.6313544190514415,0
31,-12.56082909217721,-1.459501019766767,-10.91814065432895,0
32,-11.531092394120764,-5.243872369303734,-19.678753802496377,1
33,-14.629471213079407,-2.278884803915282,-11.112387095271862,0
34,-7.056904002380497,-6.483598737467603,-9.704448338863726,1
35,-7.382548580124806,-0.6336855312843213,-1.6451608033131129,1
36,-6.941309529157877,6.888838603269256,-2.2218491431112937,0
37,-12.068536274303565,-2.2618854225019636,6.072256839506957,1
38,-5.522885303104535,2.664190177475585,-1.2401635930991048,0
39,-8.371185364739425,-11.45158256222269,-11.22775560878764,1
40,-11.280768700562286,-0.8009162592441776,-11.32807836232341,0
41,-16.013193842905654,-0.9065878405934577,-4.120170965254854,1
42,-8.463606515212625,-12.78955873126365,-7.012027591401926,0
43,-11.936139306645838,-6.851138739223262,-14.976873275250009,1
44,-4.838395058469238,-3.2846941577218387,0.7448753952634167,1
45,-10.51342328775133,1.3420237484595212,-2.9919134286767983,1
46,-8.538125146131563,-5.8561234236599375,-4.5614810868975875,1
47,-1.7647153720649529,4.729045771308494,5.610865106723462,1
48,-8.499159988439475,-4.180905943797564,-12.137299589673836,1
49,-7.59572709842839,-26.329392996701326,-33.11723396994851,0
50,-12.353403014855894,2.7913368243216112,-2.0499350864277175,1
51,-17.915925324084412,-2.699109918810532,-14.42230650757329,0
52,-7.895024278146649,-10.139417946958211,-9.40565269426522,1
53,-10.765286928159826,-1.5962580786200014,-4.913775284977723,0
54,-25.193715945185794,-11.971953667465831,-11.849064598797815,1
55,-9.365852425410829,-0.163717527234348,-8.63226119797267,0
56,-14.536258276831148,-12.544065885110465,-9.229869460551225,1
57,-5.7405302935043645,-16.85103095746344,-4.673691554908487,1
58,-21.2852726273023,-5.962866453192956,-16.058887290494816,0
59,-18.1996368283607,-9.392077431629913,-8.760257622227403,1
60,-21.467685939364745,-5.930513490194406,-10.780869378161231,0
61,4.961988394295319,7.562046931388489,1.0646561441664597,0
62,0.4777148906290257,-5.445107145555929,-11.696906728303532,1
63,4.611434157091108,1.690304168474606,-0.7096889307299119,1
64,2.876437840577677,-3.927534219870659,-6.308501240474695,1
65,-29.37544362561507,-28.357371241831096,-16.309429969648647,1
66,3.02724726129957,6.133424846454616,-2.973285361121239,0
67,-18.081307082119057,-7.321196561965837,-12.68335882130116,0
68,-18.99151708247867,-11.063301163555774,-9.491080185677973,1
69,-18.56690656835664,-2.1514882706947556,-14.183421500244616,0
70,-3.8422948808920294,-13.52903628077467,-4.441990533319516,1
71,-13.537082006411197,-12.17328257007669,-8.653072975789527,1
72,-20.148465357212856,-5.205560674458789,-2.503211168273331,1
73,-21.68198299625867,-1.805840932119284,-6.825046593995697,0
74,-10.067255353099752,-4.186887096294513,-10.96211882745973,0
75,2.5267566279367064,10.617859137984466,4.016674791332193,0
76,12.07344632589851,-1.6411385023184906,-6.247456233241349,1
77,-10.780970976928735,-20.159739681519568,-16.2050609910776,1
78,-32.514100662675034,-13.715554667737518,-14.496863716796458,1
79,-9.637077226094242,4.586912321021693,7.313011146978069,0
80,-4.696664387061239,3.336986813181539,-3.2112204722216493,0
81,-21.68198299625867,-1.805840932119284,-6.825046593995697,0
82,-14.846283512256804,-19.12302979976527,-19.94898139496258,1
83,-19.55102811226788,6.972573895147978,0.0733509805167615,0
84,-37.206406448968615,-37.59612855101019,-32.603661863319985,1
85,-0.76770295608546,-4.685257612226776,-2.676158447629359,1
86,-7.2925451377071875,-13.972595238435895,-22.94619984756724,1
